ec5_uuid,created_at,uploaded_at,title,lat_1_GPS,long_1_GPS,accuracy_1_GPS,UTM_Northing_1_GPS,UTM_Easting_1_GPS,UTM_Zone_1_GPS,2_Panel_trap_number,3_Males_Trapped,4_Females_trapped,5_Note
279c611b-8dac-476b-9b61-2f8288cbca11,2020-03-13T05:34:15.292Z,2020-03-13T07:26:27.000Z,279c611b-8dac-476b-9b61-2f8288cbca11,,,,,,,012,2,0,"Chemtica Lure"
822c1b52-c2b5-4c29-8b9c-99692b051f0d,2020-03-13T05:33:44.464Z,2020-03-13T07:26:25.000Z,822c1b52-c2b5-4c29-8b9c-99692b051f0d,,,,,,,011,0,0,"Chemtica Lure"
c0259779-f975-4a7f-b3b3-ab03f170d95d,2020-03-13T05:33:25.160Z,2020-03-13T07:26:24.000Z,c0259779-f975-4a7f-b3b3-ab03f170d95d,,,,,,,010,0,3,"Chemtica Lure"
db531061-8490-48d9-ab45-296137d29b05,2020-03-13T05:33:10.330Z,2020-03-13T07:26:22.000Z,db531061-8490-48d9-ab45-296137d29b05,,,,,,,009,0,0,"Chemtica Lure"
a15db396-21e4-45c1-aa0f-1a12e8c2f752,2020-03-13T05:32:54.328Z,2020-03-13T07:26:21.000Z,a15db396-21e4-45c1-aa0f-1a12e8c2f752,,,,,,,008,2,0,"Chemtica Lure"
b3ad6cc6-a21c-4061-9c2b-d138e6c86b2a,2020-03-13T05:32:36.731Z,2020-03-13T07:26:19.000Z,b3ad6cc6-a21c-4061-9c2b-d138e6c86b2a,,,,,,,007,0,1,"Chemtica Lure"
508c16c0-0318-468c-9093-83414815ad9e,2020-03-13T05:32:12.137Z,2020-03-13T07:26:18.000Z,508c16c0-0318-468c-9093-83414815ad9e,,,,,,,006,1,0,"Chemtica Lure"
d30507c5-dcc1-4f61-ab32-10da6959f976,2020-03-13T05:31:55.836Z,2020-03-13T07:26:16.000Z,d30507c5-dcc1-4f61-ab32-10da6959f976,,,,,,,005,3,2,"Chemtica Lure"
c68c6f8e-5bda-469a-ada9-72d306cb305c,2020-03-13T05:31:29.307Z,2020-03-13T07:26:14.000Z,c68c6f8e-5bda-469a-ada9-72d306cb305c,,,,,,,004,0,0,"Chemtica Lure"
16f85692-c290-40eb-a438-117d805cff9b,2020-03-13T05:30:58.845Z,2020-03-13T07:26:13.000Z,16f85692-c290-40eb-a438-117d805cff9b,,,,,,,003,0,0,"Chemtica Lure"
631a10ee-1e82-499e-a390-9442344cdf5f,2020-03-13T05:30:41.603Z,2020-03-13T07:26:11.000Z,631a10ee-1e82-499e-a390-9442344cdf5f,,,,,,,002,1,0,"Chemtica Lure"
a96ac965-55b5-4143-891d-ee0ef341ef2d,2020-03-13T05:30:21.361Z,2020-03-13T07:26:10.000Z,a96ac965-55b5-4143-891d-ee0ef341ef2d,,,,,,,001,3,1,"Chemtica Lure"
474e27e4-50c9-4103-87cc-8b39e3056987,2020-02-28T04:46:46.864Z,2020-02-28T04:49:19.000Z,474e27e4-50c9-4103-87cc-8b39e3056987,,,,,,,040,2,0,"Chemtica Lure"
56fdac90-e1a7-4df2-91a7-4cc74074a34c,2020-02-28T04:46:27.045Z,2020-02-28T04:49:17.000Z,56fdac90-e1a7-4df2-91a7-4cc74074a34c,,,,,,,039,4,0,"Chemtica Lure"
c9a16240-e83a-4f84-80b4-2a2f40bcd49e,2020-02-28T04:46:03.728Z,2020-02-28T04:49:15.000Z,c9a16240-e83a-4f84-80b4-2a2f40bcd49e,,,,,,,038,1,2,"Chemtica Lure"
734131bc-ab13-4fd2-a84d-9057c61d08b9,2020-02-28T04:45:42.439Z,2020-02-28T04:49:14.000Z,734131bc-ab13-4fd2-a84d-9057c61d08b9,,,,,,,037,0,2,"Chemtica Lure"
4cecf259-5d9d-484d-88cb-99d3580db9ca,2020-02-28T04:45:25.288Z,2020-02-28T04:49:12.000Z,4cecf259-5d9d-484d-88cb-99d3580db9ca,,,,,,,036,0,0,"Chemtica Lure"
1f661177-e616-44a7-9552-d375b4ed0431,2020-02-28T04:45:06.504Z,2020-02-28T04:49:11.000Z,1f661177-e616-44a7-9552-d375b4ed0431,,,,,,,035,1,0,"Chemtica Lure"
5378afab-882e-4474-ae04-82e66e1a8e0f,2020-02-28T04:44:45.684Z,2020-02-28T04:49:09.000Z,5378afab-882e-4474-ae04-82e66e1a8e0f,,,,,,,034,1,4,"Chemtica Lure"
6181c24b-8624-485d-9b16-3b32178af677,2020-02-28T04:44:18.309Z,2020-02-28T04:49:07.000Z,6181c24b-8624-485d-9b16-3b32178af677,,,,,,,033,1,4,"Chemtica Lure"
cd95ed8e-1f9f-41de-a64a-5cdeaa07e9ad,2020-02-28T04:43:47.800Z,2020-02-28T04:49:05.000Z,cd95ed8e-1f9f-41de-a64a-5cdeaa07e9ad,,,,,,,032,0,2,"Chemtica Lure"
57ce355c-945f-4e6d-9244-b97e5b736ffc,2020-02-28T04:43:30.036Z,2020-02-28T04:49:04.000Z,57ce355c-945f-4e6d-9244-b97e5b736ffc,,,,,,,031,5,6,"Chemtica Lure"
a02b32e7-e9fe-449e-b7f4-248a74ca3469,2020-02-28T04:42:59.578Z,2020-02-28T04:49:02.000Z,a02b32e7-e9fe-449e-b7f4-248a74ca3469,,,,,,,030,3,1,"Chemtica Lure"
e2f5714b-a92b-4064-9d5f-1d9552db0523,2020-02-28T04:42:24.782Z,2020-02-28T04:49:01.000Z,e2f5714b-a92b-4064-9d5f-1d9552db0523,,,,,,,029,1,3,"Chemtica Lure"
a3c2b248-5c8e-4207-99a9-9cac2e8ab84d,2020-02-28T04:42:04.468Z,2020-02-28T04:48:59.000Z,a3c2b248-5c8e-4207-99a9-9cac2e8ab84d,,,,,,,028,2,1,"Chemtica Lure"
e1a9d4f1-a046-400e-9141-50beb24bcc49,2020-02-28T04:41:22.058Z,2020-02-28T04:48:57.000Z,e1a9d4f1-a046-400e-9141-50beb24bcc49,,,,,,,027,0,1,"Chemtica Lure"
9ae71fbf-58ff-4a60-a2e9-c223d47949a1,2020-02-28T04:40:41.568Z,2020-02-28T04:48:56.000Z,9ae71fbf-58ff-4a60-a2e9-c223d47949a1,,,,,,,026,0,0,"Chemtica Lure"
f48a5dcf-1726-4f62-8102-1aa9db650114,2020-02-28T04:40:16.733Z,2020-02-28T04:48:54.000Z,f48a5dcf-1726-4f62-8102-1aa9db650114,,,,,,,025,0,0,"Chemtica Lure"
674a8ba2-0035-4fe3-88d4-07a6c208def8,2020-02-28T04:39:50.838Z,2020-02-28T04:48:53.000Z,674a8ba2-0035-4fe3-88d4-07a6c208def8,,,,,,,024,0,0,"Chemtica Lure"
4e8f3e02-5f6b-4d31-96bb-1b0f8ab9504e,2020-02-28T04:39:30.667Z,2020-02-28T04:48:51.000Z,4e8f3e02-5f6b-4d31-96bb-1b0f8ab9504e,,,,,,,023,0,0,"Chemtica Lure"
c2c88546-5079-40f5-afca-5d5cd41db37f,2020-02-28T04:38:36.397Z,2020-02-28T04:48:50.000Z,c2c88546-5079-40f5-afca-5d5cd41db37f,,,,,,,022,2,0,"Chemtica Lure"
8a4e2482-8f20-43ce-b785-d0094280ae76,2020-02-28T04:38:13.742Z,2020-02-28T04:48:48.000Z,8a4e2482-8f20-43ce-b785-d0094280ae76,,,,,,,021,0,0,"Chemtica Lure"
4f895646-24c5-48b1-9368-bdc7d78555fa,2020-02-28T04:36:40.676Z,2020-02-28T04:48:46.000Z,4f895646-24c5-48b1-9368-bdc7d78555fa,,,,,,,020,1,3,"Chemtica Lure"
733b6090-f064-41fb-a328-65b573319b66,2020-02-28T04:36:23.074Z,2020-02-28T04:48:45.000Z,733b6090-f064-41fb-a328-65b573319b66,,,,,,,019,4,1,"Chemtica Lure"
d62151bb-6a93-43b7-8800-82ee44c722fd,2020-02-28T04:35:26.692Z,2020-02-28T04:48:43.000Z,d62151bb-6a93-43b7-8800-82ee44c722fd,,,,,,,018,0,3,"Chemtica Lure"
e0f238fa-36f5-4c25-90dc-2a79e770ded7,2020-02-28T04:35:08.671Z,2020-02-28T04:48:42.000Z,e0f238fa-36f5-4c25-90dc-2a79e770ded7,,,,,,,017,1,4,"Chemtica Lure"
1df93ac8-5f21-4f33-b32d-a672a22da8f2,2020-02-28T04:34:51.560Z,2020-02-28T04:48:40.000Z,1df93ac8-5f21-4f33-b32d-a672a22da8f2,,,,,,,016,1,1,"Chemtica Lure"
937bbd59-b0f3-4f4c-85ed-fd6fc30f5ee0,2020-02-28T04:34:29.387Z,2020-02-28T04:48:39.000Z,937bbd59-b0f3-4f4c-85ed-fd6fc30f5ee0,,,,,,,015,0,0,"Chemtica Lure"
f4782002-831b-4b01-9429-e5c25580ec5d,2020-02-28T04:34:04.894Z,2020-02-28T04:48:37.000Z,f4782002-831b-4b01-9429-e5c25580ec5d,,,,,,,014,1,2,"Chemtica Lure"
28d35ddd-53d3-4ef3-87bc-bba53f740270,2020-02-28T04:33:41.729Z,2020-02-28T04:48:35.000Z,28d35ddd-53d3-4ef3-87bc-bba53f740270,,,,,,,013,1,2,"Chemtica Lure"
20b72509-0539-47a7-aa78-6515fd76834d,2020-02-28T04:33:17.872Z,2020-02-28T04:48:34.000Z,20b72509-0539-47a7-aa78-6515fd76834d,,,,,,,012,0,0,"Chemtica Lure"
abc4ed62-6815-453f-aeda-bd86ad6eac9c,2020-02-28T04:32:59.231Z,2020-02-28T04:48:32.000Z,abc4ed62-6815-453f-aeda-bd86ad6eac9c,,,,,,,011,0,0,"Chemtica Lure"
93c65d34-c8aa-468d-86cd-5e47f719be84,2020-02-28T04:32:31.781Z,2020-02-28T04:48:31.000Z,93c65d34-c8aa-468d-86cd-5e47f719be84,,,,,,,010,0,0,"Chemtica Lure"
d58cd408-8101-4eab-b169-1c41792a19fc,2020-02-28T04:32:11.860Z,2020-02-28T04:48:29.000Z,d58cd408-8101-4eab-b169-1c41792a19fc,,,,,,,009,0,0,"Chemtica Lure"
eab39cd5-6b33-4e67-b65d-babda51dbe69,2020-02-28T04:31:16.157Z,2020-02-28T04:48:27.000Z,eab39cd5-6b33-4e67-b65d-babda51dbe69,,,,,,,008,1,2,"Chemtica Lure"
ba99c086-495a-4aca-9267-d42a5b5d0dce,2020-02-28T04:30:48.769Z,2020-02-28T04:48:26.000Z,ba99c086-495a-4aca-9267-d42a5b5d0dce,,,,,,,007,0,0,"Chemtica Lure"
d64805ca-032d-4d4f-bfb2-30121ce43cb1,2020-02-28T04:30:33.778Z,2020-02-28T04:48:24.000Z,d64805ca-032d-4d4f-bfb2-30121ce43cb1,,,,,,,006,1,1,"Chemtica Lure"
b11a5b13-ffb9-44bf-9c5e-417cbd86612b,2020-02-28T04:30:11.610Z,2020-02-28T04:48:23.000Z,b11a5b13-ffb9-44bf-9c5e-417cbd86612b,,,,,,,005,0,0,"Chemtica Lure"
1f332899-6bdd-42eb-a5ef-bdfb5ec9e2c5,2020-02-28T04:29:56.928Z,2020-02-28T04:48:21.000Z,1f332899-6bdd-42eb-a5ef-bdfb5ec9e2c5,,,,,,,004,0,0,"Chemtica Lure"
ed8c1453-319d-40d3-a0e9-8cbe1cd5a99e,2020-02-28T04:29:33.338Z,2020-02-28T04:48:19.000Z,ed8c1453-319d-40d3-a0e9-8cbe1cd5a99e,,,,,,,003,2,2,"Chemtica Lure"
56240915-aec6-4118-87c7-6a15b5bba2e6,2020-02-28T04:29:13.201Z,2020-02-28T04:48:18.000Z,56240915-aec6-4118-87c7-6a15b5bba2e6,,,,,,,002,3,6,"Chemtica Lure"
2031ac24-c5c7-4573-b7a7-469f61829f22,2020-02-28T04:28:53.448Z,2020-02-28T04:48:16.000Z,2031ac24-c5c7-4573-b7a7-469f61829f22,,,,,,,001,5,4,"Chemtica Lure"
262796ec-d25e-43ee-8856-2defeeb625e0,2020-02-21T05:26:47.038Z,2020-02-28T04:48:15.000Z,262796ec-d25e-43ee-8856-2defeeb625e0,,,,,,,040,0,1,"Chemtica Lure"
178d9de7-54da-4142-a4ba-50c6b2d04d3d,2020-02-21T05:26:17.519Z,2020-02-28T04:48:13.000Z,178d9de7-54da-4142-a4ba-50c6b2d04d3d,,,,,,,039,1,0,"Chemtica Lure"
cc9d8991-89bd-495b-b534-7b10a43d8e09,2020-02-21T05:25:58.475Z,2020-02-28T04:48:11.000Z,cc9d8991-89bd-495b-b534-7b10a43d8e09,,,,,,,038,0,1,"Chemtica Lure"
